year,rep,strip,field_stag_start,perennial_trt,yr_in_perennial,ca,fe,k,mg,mn,ni,p,s,zn,protein,tkw
2013,2,4,1,AFW,5,0.384,36.824,4.303,2.207,40.323,0.634,4.543,1.671,34.297,167.100,23.670
2013,3,1,2,IWG,2,0.327,30.737,4.449,2.288,37.124,0.742,4.611,1.443,43.900,135.750,23.074
2013,3,1,2,MIX,2,0.355,49.806,4.595,2.338,41.997,0.718,4.586,1.449,43.604,128.350,23.310
2013,3,4,2,IWG,3,0.373,34.220,4.791,2.504,39.116,0.605,5.167,1.571,48.679,143.500,21.091
2013,3,4,2,MIX,3,0.300,37.558,3.972,2.277,41.870,0.471,4.343,1.585,37.747,159.700,23.042
2013,3,3,2,IWG,4,0.424,31.335,4.729,2.447,34.616,0.767,5.085,1.599,48.807,149.450,22.607
2013,3,3,2,MIX,4,0.318,38.189,4.473,2.457,40.215,0.552,4.783,1.541,44.261,153.050,26.163
2013,3,2,2,IWG,5,0.398,30.215,4.514,2.231,31.211,0.581,4.712,1.461,45.020,139.550,23.618
2013,3,2,2,MIX,5,0.365,36.034,4.628,2.421,33.553,0.552,4.808,1.531,44.729,147.550,25.916
2013,3,2,2,AFW,5,0.345,32.832,4.766,2.374,37.789,0.694,5.113,1.555,43.480,138.000,23.511
2013,4,1,2,Alfalfa,2,0.371,28.692,4.817,2.345,31.526,0.745,5.343,1.526,48.391,136.100,22.080
2013,4,1,2,IWG,2,0.364,33.759,4.633,2.452,37.087,0.700,5.391,1.783,58.604,160.950,23.654
2013,4,1,2,MIX,2,0.305,25.795,4.299,2.097,33.606,0.747,4.707,1.403,43.707,132.850,22.900
2013,4,4,2,Alfalfa,3,0.405,34.779,4.439,2.428,38.541,0.631,5.603,1.810,53.523,169.050,23.368
2013,4,4,2,IWG,3,0.373,34.507,4.580,2.415,35.470,0.594,5.297,1.803,53.206,176.400,23.033
2013,4,4,2,MIX,3,0.377,30.863,4.424,2.346,34.576,0.743,5.260,1.681,48.221,157.800,23.117
2013,4,3,2,Alfalfa,4,0.439,33.781,4.543,2.471,37.465,0.739,5.726,1.757,52.855,155.550,22.365
2013,4,3,2,IWG,4,0.345,31.382,4.095,2.193,30.691,0.657,4.792,1.690,47.585,155.000,22.084
2013,4,3,2,MIX,4,0.360,32.847,4.474,2.339,37.573,0.652,5.270,1.644,46.684,147.650,23.092
2013,4,2,2,Alfalfa,5,0.341,33.741,4.223,2.142,30.702,0.623,4.917,1.464,44.261,145.050,24.552
2013,4,2,2,IWG,5,0.385,34.331,4.659,2.467,34.942,0.630,5.432,1.854,54.544,163.800,22.883
2013,4,2,2,MIX,5,0.371,31.118,4.802,2.419,34.427,0.831,5.485,1.640,48.414,145.400,24.196
2013,4,2,2,AFW,5,0.372,30.908,4.747,2.354,38.143,0.745,5.189,1.550,40.884,137.050,24.932
2014,1,2,1,Alfalfa,2,0.360,29.342,4.063,2.006,38.423,0.242,3.997,1.262,29.276,113.550,27.916
